품목명,HS코드
"틸라피아[오레오크로미스(Oreochromis)속], 메기[판가시우스(Pangasius)속ㆍ실루러스(Silurus)속ㆍ클라리아스(Clarias)속ㆍ익타루러스(Ictalurus)속], 잉어[사이프리너스(Cyprinus)속ㆍ카라시우스(Carassius)속ㆍ크테노파린고돈 이델루스(Ctenopharyngodon idellus)ㆍ하이포프탈미크티스(Hypophthalmichthys)속ㆍ시리누스(Cirrhinus)속ㆍ마일로파린고돈 피세우스(Mylopharyngodon piceus)ㆍ카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)속ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)속], 뱀장어[앙귈라(Anguilla)속], 나일 퍼치[라테스 니로티쿠스(Lates niloticus)], 가물치[카나(Channa)속]",305440000
멸치,305491000
명태,305492000
명태(북어),305531000
조기(굴비),305594000
베도라치(실치),305598000
멸치젓,305631000
연어,305691000
송어,305692000
정어리,305694000
고등어,305695000
꽁치(학꽁치를 포함한다),305698000
훈제한 것,305711000
어류의 머리ㆍ꼬리ㆍ부레,305720000
게살,3061410
왕게,306142000
꽃게,3061430
새우살,3061610
흰다리새우[리토페나에우스 바나메이(Litopenaeus vannamei)],306179091
닭새우류[팔리누루스(Palinurus)속ㆍ파누리루스(Panulirus)속ㆍ자수스(Jasus)속],306310000
바닷가재[호마루스(Homarus)속],306320000
꽃게[포르투누스 트리투버큘라투스(Portunus trituberculatus)],306331000
대게,306332000
노르웨이 바닷가재[네프로프스 노르베지쿠스(Nephrops norvegicus)],306340000
냉수성(冷水性) 새우류[판달러스(Pandalus)속ㆍ크란곤 크란곤(Crangon crangon)],306350000
그 밖의 새우류,306360000
게,306930000
냉수성(冷水性) 새우류[판달러스(Pandalus)종ㆍ크란곤 크란곤(Crangon crangon)],3069510
굴치패,3071110
종패용,307111010
냉동한 것,307120000
펙텐(Pecten)ㆍ클라미스(Chlamys)ㆍ플라코펙텐(Placopecten)속의 것,307211000
"살아 있는 것, 신선한 것, 냉장한 것",307310000
갑오징어,3074210
세피아 오피시날리스(Sepia officinalis)ㆍ로시아 마크로소마(Rossia macrosoma)ㆍ세피올라(Sepiola)속,307421010
오징어,3074220
옴마스트레페스(Ommastrephes)속ㆍ로리고(Loligo)속ㆍ노토토다루스(Nototodarus)속ㆍ세피오투디스(Sepioteuthis)속,307422010
갑오징어[세피아 오피시날리스(Sepia officinalis)ㆍ로시아 마크로소마(Rossia macrosoma)ㆍ세피올라(Sepiola)속]와 오징어[옴마스트레페스(Ommastrephes)속ㆍ로리고(Loligo)속ㆍ노토토다루스(Nototodarus)속ㆍ세피오투디스(Sepioteuthis)속],307492010
낙지,307511000
주꾸미,307512000
문어,307521000
달팽이(바다달팽이는 제외한다),307600000
백합,307711000
피조개,3077120
새조개,307713000
바지락,307714000
개조개,307715000
개량조개,307722000
"살아있거나, 신선하거나 냉장한 전복[할리오티스(Haliotis)속]",307810000
"살아있거나, 신선하거나 냉장한 수정고둥류[스트롬버스(Strombus)속]",307820000
냉동한 전복[할리오티스(Haliotis)속],307830000
냉동한 수정고둥류[스트롬버스(Strombus)속],307840000
소라,307911000
진주조개,3079120
조개관자,307913000
재첩,307914000
골뱅이,3079941
밀폐용기에 넣은 것,307994110
밀폐용기에 넣지 않은 것,307994120
우렁쉥이(멍게),30890101
종묘(種苗),308901011
어류의 것,309100000
갑각류의 것,309901000
연체동물의 것,309902000
지방분이 전 중량의 100분의 1 이하인 것,401100000
지방분이 전 중량의 100분의 1 초과 100분의 6 이하인 것,401200000
냉동크림,401401000
설탕이나 그 밖의 감미료를 첨가하지 않은 것,4021010
탈지(脫脂)분유,402101010
전지분유,402211000
무가당연유(無加糖煉乳),402911000
가당연유(加糖煉乳),402991000
액체 상태인 것,403201000
버터밀크,403901000
유장,4041010
유장분말,40410101
사료용,404101011
변성유장,404102
유장에서 유당(乳糖)ㆍ단백질ㆍ무기질의 전부나 일부를 제거한 것,4041021
유당(乳糖)을 제거한 것,40410211
무기질을 제거한 것,40410212
유장농축 단백질,40410213
지방분이 전 중량의 100분의 1.5 이하인 것,404901000
지방분이 전 중량의 100분의 1.5를 초과하는 것,404902000
버터,405100000
데어리 스프레드(dairy spread),405200000
신선한 치즈,4061010
모차렐라 치즈(Mozzarella cheese),406101010
크림 치즈,406101020
커드(curd),406102000
갈았거나 가루 모양으로 한 모든 종류의 치즈,406200000
가공치즈(갈았거나 가루 모양의 것은 제외한다),406300000
블루바인 치즈(blue-veined cheese)와 페니실리움 로우크포티(Penicillium roqueforti)로 생산된 바인(vein)을 함유한 그 밖의 치즈,406400000
체더 치즈(Cheddar cheese),406901000
하우다 치즈(Gouda cheese),406902000
카망베르 치즈(Camembert cheese),406903000
에멘탈 치즈(Emmental cheese),406904000
닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것,407110000
천연꿀,409000000
곤충,410100000
칼새둥지,410901000
로열젤리,410902000
"사람 머리카락(가공하지 않은 것으로 한정하며, 세척이나 세정을 했는지에 상관없다)과 그 웨이스트(waste)",501000000
돼지털ㆍ멧돼지털과 이들의 웨이스트(waste),502100000
장,5040010
소시지 케이싱용,504001021
양의 것,50400103
방광,504002000
위,504003000
솜털과 충전재용 깃털,505100000
깃털 가루,505901000
골소(骨素)와 뼈[산(酸)처리한 것으로 한정한다],506100000
뼈,5069010
뼛가루,506902000
상아,507101000
녹용과 녹각[가루와 웨이스트(waste)를 포함한다],507901
녹용,5079011
전지(全枝),507901110
녹각,507901200
귀갑(龜甲)과 귀판(龜板),507902010
고래수염과 그 털,507902020
산호,508001000
패각,5080020
진주패각,508002010
청패각(전복),508002020
첩패각과 지첩패각,508002030
야광패각(소라),508002040
트로커스(Trocus) 패각,508002050
아고야(Agoya) 패각,508002060
"민물패각[메가로나이아스네보사(Megalonaiasnervosa), 앰브레마프리카타(Amblemaplicata), 콰드루라 콰드루라(Quadrula quadrula)속]",508002070
사향,510003000
우황,510004000
소의 정액,511100000
부화용 알,5119110
브라인 슈림프(brine shrimp) 알,511911010
어류의 웨이스트(waste),511912000
동물의 피,511991000
동물의 정액(소의 것은 제외한다),5119920
돼지의 정액,511992010
수정란,5119930
동물의 건(腱)과 근(筋),511994000
"말의 털과 그 웨이스트(waste)(층상으로 하였는지, 지지물을 사용했는지에 상관없다)",5119950
정돈한 말의 털,511995030
동물성의 해면,511996000
잠종(蠶種),511999010
누에번데기,511999020
동물의 사체(제3류 물품의 사체는 제외한다),511999030
원피의 페어링(paring)과 이와 유사한 웨이스트(waste),511999040
튤립의 것,601101000
백합의 것,601102000
히아신스의 것,601104000
글라디올러스의 것,601105000
아이리스의 것,601106000
프리지어의 것,601107000
수선화의 것,601108000
뿌리가 없는 꺾꽂이용 가지와 접붙임용 가지 ,602100000
사과나무,602201000
배나무,602202000
복숭아나무,602203000
포도나무,602204000
귤나무,602206000
철쭉과 진달래속의 식물(접목했는지에 상관없다),602300000
장미(접목했는지에 상관없다),602400000
화훼류,6029010
난초,602901010
카네이션,602901020
구즈마니아,602901030
안개초,602901040
국화,602901050
선인장류,602901060
산림수,6029020
분재용,602902010
조경용,60290202
단풍나무,602902021
목단,602909010
뽕나무,602909030
버섯의 종균(種菌),602909040
잔디,602909050
장미,603110000
심비디움(Cymbidiums),603131000
팔레놉시스(Phalaenopsis),603132000
백합[릴리움(Lilium)속],603150000
튤립,603191000
이끼와 지의(地衣),604201000
식물의 잎,604202000
종자용,701100000
방울토마토,702001000
양파,7031010
껍질을 벗긴 것,703101010
샬롯(shallot),703103000
껍질을 깐 것,703201000
리크(leek),703901000
대파,703902000
쪽파,703903000
꽃양배추와 브로콜리(broccoli),704100000
방울다다기 양배추,704200000
양배추,704901000
배추,704902000
결구(結球) 상추,705110000
위트루프 치커리(Witloof chicory)[시코리엄 인티부스 변종 포리오섬(Cichorium intybus var. foliosum)],705210000
당근,706101000
순무,706102000
무,706901000
고추냉이와 겨자무,706902000
더덕,706903000
도라지,706904000
오이류(신선한 것이나 냉장한 것으로 한정한다),707000000
완두[피섬 새티범(Pisum sativum)],708100000
콩[비그나(Vigna)속ㆍ파세러스(Phaseolus)속)],708200000
그 밖의 채두류(菜豆類),708900000
아스파라거스(asparagus),709200000
가지(에그플랜트),709300000
셀러리(celery)[셀러리액(celeriac)은 제외한다],709400000
양송이 버섯,709517000
볼레투스(Boletus)속의 버섯,709520000
칸타렐루스(Cantharellus)속의 버섯,709530000
표고버섯(Lentinus edodes),709540000
"송이버섯(Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum)",709550000
송로버섯[튜버(Tuber) 속],709560000
영지버섯,709593000
느타리버섯,7095940
큰느타리버섯,709594010
팽이버섯,709595000
단고추(벨타입으로 한정한다),709601000
시금치류,709700000
글로브 아티초크(globe artichoke),709910000
올리브,709920000
호박류[쿠쿠르비타(Cucurbita)속],709930000
고사리,709991000
고비,709992000
깻잎,709993000
감자,710100000
스위트콘,710400000
마늘,710802000
송이버섯,710806000
고추류[캡시컴(Capsicum)속]의 열매나 피멘타(Pimenta)속의 열매,710807000
취ㆍ고려엉겅퀴,7108080
"취(참취, 개미취, 곰취, 미역취)",710808010
고려엉겅퀴(곤드레),710808020
채소류의 혼합물,710900000
오이류,711400000
